sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
0,893,Keen Edge,23916.0,0,0,0,0,0,0,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
893,1425,Auto,6746.0,0,6746,0,0,0,0,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
2500,3574,Brutal Shell,30619.0,0,6746,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
3693,4225,Auto,6746.0,0,13492,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
5000,6653,Solid Barrel,40128.0,0,13492,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,40128,0,0,0
6493,7025,Auto,10877.0,0,24369,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,40128,0,0,0
7500,8123,Gnashing Fang,57173.0,0,24369,0,0,0,30619,0,0,0,57173,0,0,23916,0,0,0,0,40128,0,0,0
8125,8927,Jugular Rip,28585.0,0,24369,0,0,0,30619,0,0,0,57173,0,28585,23916,0,0,0,0,40128,0,0,0
9293,9825,Auto,10877.0,0,35246,0,0,0,30619,0,0,0,57173,0,28585,23916,0,0,0,0,40128,0,0,0
10000,10716,Double Down,129953.0,0,35246,0,0,0,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,0,0,0
10625,11252,Bow Shock,19487.0,0,35246,0,19487,0,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,0,0,0
11250,11875,Blasting Zone,103961.0,0,35246,103961,19487,0,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,0,0,0
12093,12625,Auto,10877.0,0,46123,103961,19487,0,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,0,0,0
12500,13081,Sonic Break,44175.0,0,46123,103961,19487,0,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,44175,0,0
10625,13500,Bow Shock (dot),7793.0,0,46123,103961,19487,7793,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,44175,0,0
12500,13500,Sonic Break (dot),15590.0,0,46123,103961,19487,7793,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,44175,15590,0
14893,15425,Auto,10877.0,0,57000,103961,19487,7793,30619,0,129953,0,57173,0,28585,23916,0,0,0,0,40128,44175,15590,0
15000,15625,Savage Claw,64971.0,0,57000,103961,19487,7793,30619,0,129953,0,57173,0,28585,23916,0,0,0,64971,40128,44175,15590,0
15625,16382,Abdomen Tear,33781.0,33781,57000,103961,19487,7793,30619,0,129953,0,57173,0,28585,23916,0,0,0,64971,40128,44175,15590,0
12500,16500,Sonic Break (dot),15590.0,33781,57000,103961,19487,7793,30619,0,129953,0,57173,0,28585,23916,0,0,0,64971,40128,44175,31180,0
10625,16500,Bow Shock (dot),7793.0,33781,57000,103961,19487,15586,30619,0,129953,0,57173,0,28585,23916,0,0,0,64971,40128,44175,31180,0
