sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,857,38614.196,363.307,44154.004,593.056,272290,33092366,444481
Raiton,33,104588.818,32.583,4605.125,220.172,24420,3451431,165014
Gust Slash,79,41735.253,42.163,4399.187,132.242,31600,3297085,99112
Fleeting Raiju,33,98612.273,30.822,4341.974,207.382,23100,3254205,155428
Aeolian Edge,52,59460.019,38.854,4125.444,153.441,29120,3091921,115000
Hyosho Ranryu,13,231515.0,22.549,4015.732,305.707,16900,3009695,229120
Auto,342,8682.731,41.069,3962.094,58.403,30780,2969494,43772
Spinning Edge,79,31171.139,31.622,3285.656,98.656,23700,2462520,73940
Bhavacakra,45,50153.578,25.218,3011.319,126.769,18900,2256911,95010
Suiton,20,70637.1,15.477,1884.973,116.453,11600,1412742,87279
Armor Crush,27,52277.444,18.013,1883.304,97.14,13500,1411491,72804
Tenri Jindo,7,173243.143,10.274,1618.066,167.131,7700,1212702,125261
Kunai's Bane,13,87174.538,12.142,1512.082,115.111,9100,1133269,86273
Dream Within a Dream,39,24654.462,9.367,1282.928,56.387,7020,961524,42261
Zesho Meppo,7,113658.571,6.738,1061.555,109.977,5050,795610,82425
Phantom Kamaitachi (pet),9,80567.889,8.406,967.491,87.524,6300,725111,65597
Fuma Shuriken,7,78742.286,4.67,735.442,75.964,3500,551196,56933
Dokumori,7,44488.857,3.736,415.52,42.571,2800,311422,31906
Fleeting Raiju (pet),13,21012.231,2.775,364.467,27.806,2080,273159,20840
Spinning Edge (pet),10,15490.0,2.135,206.678,17.452,1600,154900,13080
Gust Slash (pet),9,15937.111,1.921,191.379,17.183,1440,143434,12878
Aeolian Edge (pet),8,16281.125,1.708,173.787,16.665,1280,130249,12490
Armor Crush (pet),5,16459.0,1.067,109.803,13.363,800,82295,10015
