sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abyssal Drain (pet),Auto,Bloodspiller,Bloodspiller (pet),Carve and Spit,Comeuppance,Disesteem,Disesteem (pet),Edge of Shadow,Edge of Shadow (pet),Hard Slash,Salt and Darkness,Salted Earth,Salted Earth (dot),Scarlet Delirium,Shadowbringer,Shadowbringer (pet),Souleater,Syphon Strike,Torcleaver
0,581,Hard Slash,24258.0,0,0,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
581,1113,Auto,7242.0,0,7242,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
1750,2374,Edge of Shadow,40675.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,0,0
2500,3124,Syphon Strike,36956.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
3541,4073,Auto,9052.0,0,16294,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
5000,5624,Souleater,49018.0,0,16294,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,49018,36956,0
6501,7033,Auto,10669.0,0,26963,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,49018,36956,0
6250,7150,Salted Earth,5897.0,0,26963,0,0,0,0,0,0,40675,0,24258,0,5897,0,0,0,0,49018,36956,0
6250,7500,Salted Earth (dot),5897.0,0,26963,0,0,0,0,0,0,40675,0,24258,0,5897,5897,0,0,0,49018,36956,0
7500,8081,Hard Slash,36108.0,0,26963,0,0,0,0,0,0,40675,0,60366,0,5897,5897,0,0,0,49018,36956,0
8125,8749,Edge of Shadow,55370.0,0,26963,0,0,0,0,0,0,96045,0,60366,0,5897,5897,0,0,0,49018,36956,0
8750,9416,Shadowbringer,72221.0,0,26963,0,0,0,0,0,0,96045,0,60366,0,5897,5897,0,72221,0,49018,36956,0
9925,9925,Abyssal Drain (pet),53653.0,53653,26963,0,0,0,0,0,0,96045,0,60366,0,5897,5897,0,72221,0,49018,36956,0
9461,9993,Auto,10669.0,53653,37632,0,0,0,0,0,0,96045,0,60366,0,5897,5897,0,72221,0,49018,36956,0
