sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,907,33122.905,310.03,40029.893,382.783,232678,30042475,287279
Blazing Shot,105,34248.848,36.376,4791.638,124.254,27300,3596129,93253
Drill,39,89069.641,34.297,4628.529,176.974,25740,3473716,132819
Heated Clean Shot,48,52034.188,26.862,3327.965,127.386,20160,2497641,95603
Shot,284,7435.07,30.273,2813.534,44.325,22720,2111560,33266
Heated Slug Shot,49,39772.143,20.893,2596.712,98.389,15680,1948835,73841
Double Check,80,23503.312,19.187,2505.346,74.413,14400,1880265,55847
Checkmate,79,23553.557,18.947,2479.318,74.112,14220,1860731,55621
Excavator,13,132987.615,11.432,2303.58,55.889,8580,1728839,41945
Air Anchor,19,86051.526,16.709,2178.517,123.664,12540,1634979,92810
Full Metal Field,7,214732.286,8.394,2002.83,21.871,6300,1503126,16414
Heated Split Shot,50,27299.72,14.657,1818.766,68.226,11000,1364986,51204
Crowned Collider (pet),19,65254.947,13.823,1652.022,105.823,10374,1239844,79420
Chain Saw,13,88092.692,11.432,1525.921,101.498,8580,1145205,76174
Arm Punch (pet),57,20073.684,12.759,1524.582,56.385,9576,1144200,42317
Wildfire (dot),7,156439.0,13.431,1459.123,15.932,10080,1095073,11957
Pile Bunker (pet),19,56886.947,12.051,1440.174,92.254,9044,1080852,69237
Roller Dash (pet),19,38762.842,8.506,981.336,62.188,6384,736494,46672
