sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Death Rattle,First Generation,First Legacy,Flanksbane Fang,Flanksting Strike,Fourth Generation,Fourth Legacy,Hindsbane Fang,Hindsting Strike,Hunter's Coil,Hunter's Sting,Ouroboros,Reaving Fangs,Reawaken,Second Generation,Second Legacy,Steel Fangs,Swiftskin's Coil,Swiftskin's Sting,Third Generation,Third Legacy,Twinblood Bite,Twinfang Bite,Uncoiled Fury,Uncoiled Twinblood,Uncoiled Twinfang,Vicewinder
-1200,90,Reaving Fangs,20340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,622,Auto,8038.0,8038,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,2461,Swiftskin's Sting,30511.0,8038,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,0
2730,3262,Auto,8038.0,16076,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,0
3801,4381,Vicewinder,54925.0,16076,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,54925
4970,5502,Auto,8038.0,24114,0,0,0,0,0,0,0,0,0,0,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,54925
6352,7332,Hunter's Coil,69164.0,24114,0,0,0,0,0,0,0,0,0,69164,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,54925
7210,7742,Auto,8841.0,32955,0,0,0,0,0,0,0,0,0,69164,0,0,20340,0,0,0,0,0,30511,0,0,0,0,0,0,0,54925
7592,8212,Twinfang Bite,19018.0,32955,0,0,0,0,0,0,0,0,0,69164,0,0,20340,0,0,0,0,0,30511,0,0,0,19018,0,0,0,54925
8212,8882,Twinblood Bite,20588.0,32955,0,0,0,0,0,0,0,0,0,69164,0,0,20340,0,0,0,0,0,30511,0,0,20588,19018,0,0,0,54925
8902,9522,Swiftskin's Coil,75104.0,32955,0,0,0,0,0,0,0,0,0,69164,0,0,20340,0,0,0,0,75104,30511,0,0,20588,19018,0,0,0,54925
