sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
1310,4500,Combust III (dot),10097.0,0,10097,0,0,0,0
3620,4690,Fall Malefic,38226.0,0,10097,38226,0,0,0
4500,5032,Auto,0.0,0,10097,38226,0,0,0
5960,7030,Fall Malefic,46894.0,0,10097,85120,0,0,0
1310,7500,Combust III (dot),10097.0,0,20194,85120,0,0,0
7200,7820,Lord of Crowns,74583.0,0,20194,85120,74583,0,0
8000,8000,Stellar Explosion (pet),55555.0,0,20194,85120,74583,0,55555
7700,8232,Auto,0.0,0,20194,85120,74583,0,55555
8270,9340,Fall Malefic,50288.0,0,20194,135408,74583,0,55555
1310,10500,Combust III (dot),10097.0,0,30291,135408,74583,0,55555
10900,11432,Auto,0.0,0,30291,135408,74583,0,55555
10580,11650,Fall Malefic,50288.0,0,30291,185696,74583,0,55555
11200,12940,Oracle,160287.0,0,30291,185696,74583,160287,55555
1310,13500,Combust III (dot),10097.0,0,40388,185696,74583,160287,55555
12890,13960,Fall Malefic,50288.0,0,40388,235984,74583,160287,55555
14100,14632,Auto,0.0,0,40388,235984,74583,160287,55555
1310,16500,Combust III (dot),10097.0,0,50485,235984,74583,160287,55555
16090,17160,Fall Malefic,50288.0,0,50485,286272,74583,160287,55555
17300,17832,Auto,0.0,0,50485,286272,74583,160287,55555
18400,19470,Fall Malefic,50288.0,0,50485,336560,74583,160287,55555
1310,19500,Combust III (dot),10097.0,0,60582,336560,74583,160287,55555
21210,21742,Auto,0.0,0,60582,336560,74583,160287,55555
20710,21780,Fall Malefic,50288.0,0,60582,386848,74583,160287,55555
1310,22500,Combust III (dot),10097.0,0,70679,386848,74583,160287,55555
23020,24090,Fall Malefic,50288.0,0,70679,437136,74583,160287,55555
24410,24942,Auto,0.0,0,70679,437136,74583,160287,55555
24440,25500,Combust III (dot),13948.0,0,84627,437136,74583,160287,55555
26750,27820,Fall Malefic,36406.0,0,84627,473542,74583,160287,55555
27610,28142,Auto,0.0,0,84627,473542,74583,160287,55555
24440,28500,Combust III (dot),13948.0,0,98575,473542,74583,160287,55555
29950,31020,Fall Malefic,36406.0,0,98575,509948,74583,160287,55555
30810,31342,Auto,0.0,0,98575,509948,74583,160287,55555
24440,31500,Combust III (dot),13948.0,0,112523,509948,74583,160287,55555
