sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,35758.025,246.221,28020.41,222.157,185700,21132993,167551
Fell Cleave,71,74971.268,54.601,7057.757,103.5,41180,5322960,78060
Inner Chaos,22,114541.091,20.419,3341.161,20.593,15400,2519904,15531
Auto,225,9125.351,26.85,2722.36,46.836,20250,2053204,35324
Maim,61,30407.311,27.499,2459.356,81.219,20740,1854846,61255
Storm's Path,40,44722.85,26.518,2371.936,96.712,20000,1788914,72940
Primal Ruination,13,129160.154,13.789,2226.309,17.851,10400,1679082,13463
Primal Rend,13,116234.769,12.411,2003.516,16.066,9360,1511052,12117
Heavy Swing,61,21438.852,19.411,1733.983,57.265,14640,1307770,43189
Storm's Eye,21,44582.0,13.922,1241.344,69.87,10500,936222,52696
Upheaval,24,38414.25,13.365,1222.411,64.409,10080,921942,48577
Primal Wrath,13,65523.846,12.066,1129.422,80.884,9100,851810,61003
Onslaught,27,14269.889,5.37,510.855,25.388,4050,385287,19148
