sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
-170,1120,Dia,10969.0,0,0,0,10969,0,0,0
-170,1500,Dia (dot),11244.0,0,0,0,10969,11244,0,0
1120,1652,Auto,0.0,0,0,0,10969,11244,0,0
-170,4500,Dia (dot),11244.0,0,0,0,10969,22488,0,0
3220,4510,Glare III,49638.0,0,0,0,10969,22488,49638,0
4560,5092,Auto,0.0,0,0,0,10969,22488,49638,0
5650,6940,Glare III,52119.0,0,0,0,10969,22488,101757,0
-170,7500,Dia (dot),11244.0,0,0,0,10969,33732,101757,0
8280,8812,Auto,0.0,0,0,0,10969,33732,101757,0
8389,9059,Assize,73864.0,0,73864,0,10969,33732,101757,0
7780,9070,Glare III,64630.0,0,73864,0,10969,33732,166387,0
9060,9640,Afflatus Misery,258533.0,258533,73864,0,10969,33732,166387,0
-170,10500,Dia (dot),11244.0,258533,73864,0,10969,44976,166387,0
11030,11562,Auto,0.0,258533,73864,0,10969,44976,166387,0
11000,11850,Glare IV,118167.0,258533,73864,0,10969,44976,166387,118167
-170,13500,Dia (dot),11244.0,258533,73864,0,10969,56220,166387,118167
12940,13790,Glare IV,118167.0,258533,73864,0,10969,56220,166387,236334
13780,14312,Auto,0.0,258533,73864,0,10969,56220,166387,236334
14881,15731,Glare IV,118167.0,258533,73864,0,10969,56220,166387,354501
-170,16500,Dia (dot),11244.0,258533,73864,0,10969,67464,166387,354501
16530,17062,Auto,0.0,258533,73864,0,10969,67464,166387,354501
17481,18771,Glare III,64630.0,258533,73864,0,10969,67464,231017,354501
-170,19500,Dia (dot),11244.0,258533,73864,0,10969,78708,231017,354501
19921,20453,Auto,0.0,258533,73864,0,10969,78708,231017,354501
19421,20711,Glare III,64630.0,258533,73864,0,10969,78708,295647,354501
-170,22500,Dia (dot),11244.0,258533,73864,0,10969,89952,295647,354501
21361,22651,Glare III,64630.0,258533,73864,0,10969,89952,360277,354501
24101,24633,Auto,0.0,258533,73864,0,10969,89952,360277,354501
23601,24891,Glare III,64630.0,258533,73864,0,10969,89952,424907,354501
-170,25500,Dia (dot),11244.0,258533,73864,0,10969,101196,424907,354501
25071,26361,Dia,15621.0,258533,73864,0,26590,101196,424907,354501
25071,28500,Dia (dot),16014.0,258533,73864,0,26590,117210,424907,354501
28961,29493,Auto,0.0,258533,73864,0,26590,117210,424907,354501
28461,29751,Glare III,49638.0,258533,73864,0,26590,117210,474545,354501
25071,31500,Dia (dot),16014.0,258533,73864,0,26590,133224,474545,354501
32401,32933,Auto,0.0,258533,73864,0,26590,133224,474545,354501
25071,34500,Dia (dot),16014.0,258533,73864,0,26590,149238,474545,354501
35841,36373,Auto,0.0,258533,73864,0,26590,149238,474545,354501
25071,37500,Dia (dot),16014.0,258533,73864,0,26590,165252,474545,354501
37221,37801,Afflatus Misery,183437.0,441970,73864,0,26590,165252,474545,354501
39281,39813,Auto,0.0,441970,73864,0,26590,165252,474545,354501
25071,40500,Dia (dot),16014.0,441970,73864,0,26590,181266,474545,354501
40611,41901,Glare III,45857.0,441970,73864,0,26590,181266,520402,354501
25071,43500,Dia (dot),16014.0,441970,73864,0,26590,197280,520402,354501
43541,44073,Auto,0.0,441970,73864,0,26590,197280,520402,354501
43041,44331,Glare III,45834.0,441970,73864,0,26590,197280,566236,354501
