sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
-600,640,Rainbow Drip,133983.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
640,1172,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
700,1320,Pom Muse,115981.0,0,0,0,0,0,0,0,0,0,0,0,0,115981,133983,0,0,0,0,0,0
5100,5632,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,115981,133983,0,0,0,0,0,0
6100,7350,Star Prism,196325.0,0,0,0,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,0,0,0,0
9190,9940,Blizzard in Cyan,161093.0,0,0,161093,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,0,0,0,0
9690,10222,Auto,0.0,0,0,161093,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,0,0,0,0
11660,12460,Stone in Yellow,178780.0,0,0,161093,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,178780,0,0,0
12650,13182,Auto,0.0,0,0,161093,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,178780,0,0,0
14130,14980,Thunder in Magenta,186709.0,0,0,161093,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,178780,186709,0,0
15610,16142,Auto,0.0,0,0,161093,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,178780,186709,0,0
16079,17059,Winged Muse,158916.0,0,0,161093,0,0,0,0,0,0,0,0,0,115981,133983,0,196325,178780,186709,0,158916
15380,17250,Comet in Black,186709.0,0,0,161093,0,186709,0,0,0,0,0,0,0,115981,133983,0,196325,178780,186709,0,158916
17850,19090,Rainbow Drip,198646.0,0,0,161093,0,186709,0,0,0,0,0,0,0,115981,332629,0,196325,178780,186709,0,158916
18570,19102,Auto,0.0,0,0,161093,0,186709,0,0,0,0,0,0,0,115981,332629,0,196325,178780,186709,0,158916
18550,19700,Mog of the Ages,198646.0,0,0,161093,0,186709,0,0,0,0,0,198646,0,115981,332629,0,196325,178780,186709,0,158916
20351,21731,Hammer Stamp,193245.0,0,0,161093,0,186709,0,0,0,193245,0,198646,0,115981,332629,0,196325,178780,186709,0,158916
21530,22062,Auto,0.0,0,0,161093,0,186709,0,0,0,193245,0,198646,0,115981,332629,0,196325,178780,186709,0,158916
22851,24101,Hammer Brush,200219.0,0,0,161093,0,186709,0,0,200219,193245,0,198646,0,115981,332629,0,196325,178780,186709,0,158916
24490,25022,Auto,0.0,0,0,161093,0,186709,0,0,200219,193245,0,198646,0,115981,332629,0,196325,178780,186709,0,158916
25351,27451,Polishing Hammer,186154.0,0,0,161093,0,186709,0,0,200219,193245,0,198646,186154,115981,332629,0,196325,178780,186709,0,158916
27450,27982,Auto,0.0,0,0,161093,0,186709,0,0,200219,193245,0,198646,186154,115981,332629,0,196325,178780,186709,0,158916
