sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abyssal Drain (pet),Auto,Bloodspiller,Bloodspiller (pet),Carve and Spit,Comeuppance,Disesteem,Disesteem (pet),Edge of Shadow,Edge of Shadow (pet),Hard Slash,Salt and Darkness,Salted Earth,Salted Earth (dot),Scarlet Delirium,Shadowbringer,Shadowbringer (pet),Souleater,Syphon Strike,Torcleaver
0,581,Hard Slash,24258.0,0,0,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
581,1113,Auto,7242.0,0,7242,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
1750,2374,Edge of Shadow,40675.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,0,0
2500,3124,Syphon Strike,36956.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
3541,4073,Auto,9052.0,0,16294,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
5000,5624,Souleater,49018.0,0,16294,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,49018,36956,0
6501,7033,Auto,11340.0,0,27634,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,49018,36956,0
6250,7150,Salted Earth,6269.0,0,27634,0,0,0,0,0,0,40675,0,24258,0,6269,0,0,0,0,49018,36956,0
6250,7500,Salted Earth (dot),6269.0,0,27634,0,0,0,0,0,0,40675,0,24258,0,6269,6269,0,0,0,49018,36956,0
7500,8081,Hard Slash,38380.0,0,27634,0,0,0,0,0,0,40675,0,62638,0,6269,6269,0,0,0,49018,36956,0
8125,8749,Edge of Shadow,58855.0,0,27634,0,0,0,0,0,0,99530,0,62638,0,6269,6269,0,0,0,49018,36956,0
8750,9416,Shadowbringer,76766.0,0,27634,0,0,0,0,0,0,99530,0,62638,0,6269,6269,0,76766,0,49018,36956,0
9925,9925,Abyssal Drain (pet),57030.0,57030,27634,0,0,0,0,0,0,99530,0,62638,0,6269,6269,0,76766,0,49018,36956,0
9461,9993,Auto,11340.0,57030,38974,0,0,0,0,0,0,99530,0,62638,0,6269,6269,0,76766,0,49018,36956,0
