sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-14000,-14000,Meikyo Shisui,,,,,,,[],
0,0,The Wanderer's Minuet,,,,,,,[],
-650,110,Gekko,420.0,42462.0,,Boss1,['Meikyo Shisui'],126106180.0,['Meikyo Shisui'],
110,110,Ikishoten,,,,,,,[],
110,642,Auto,90.0,9244.0,,Boss1,[],6075804.0,"['Fugetsu', ""The Wanderer's Minuet""]",
730,730,Grade 4 Gemdraught,,,,,,,[],
1820,2440,Kasha,420.0,52486.0,,Boss1,[],195887889.0,"['Fugetsu', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
2750,3282,Auto,90.0,10004.0,,Boss1,[],7115557.0,"['Fugetsu', 'Fuka', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
4291,5091,Yukikaze,340.0,44611.0,,Boss1,['Meikyo Shisui'],141514169.0,"['Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
5103,5103,Battle Voice,,,,,,,[],5723.0
5220,5220,Chain Stratagem,,,,,,,[],6020.0
5400,5400,Starry Muse,,,,,,,[],
5473,5473,Divination,,,,,,,[],6073.0
5533,5533,Starry Muse,,,,,,,[],
5040,5572,Auto,90.0,10504.0,,Boss1,[],7845570.0,"['Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
5723,5723,Radiant Finale,,,,,,,[],6348.0
6580,6580,Card,,,,,,,[],7200.0
7041,8071,Tendo Setsugekka,1100.0,252962.0,,Boss1,[],851576385.0,"['Battle Voice', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
7541,8073,Auto,90.0,13933.0,,Boss1,[],14507769.0,"['Battle Voice', 'Card', 'Chain Stratagem', 'Divination', 'Dokumori', 'Fugetsu', 'Fuka', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
