sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,591,36369.531,246.221,28499.593,224.809,185700,21494393,169551
Fell Cleave,71,76531.085,54.601,7204.597,103.933,41180,5433707,78386
Inner Chaos,22,118224.273,20.419,3448.6,21.282,15400,2600934,16051
Auto,225,9204.64,26.85,2746.014,47.535,20250,2071044,35851
Maim,61,30477.787,27.499,2465.056,81.55,20740,1859145,61505
Storm's Path,40,44774.15,26.518,2374.657,96.903,20000,1790966,73084
Primal Ruination,13,132986.615,13.789,2292.265,18.408,10400,1728826,13883
Primal Rend,13,119678.077,12.411,2062.868,16.567,9360,1555815,12495
Heavy Swing,61,21452.525,19.411,1735.089,57.36,14640,1308604,43261
Storm's Eye,21,44775.952,13.922,1246.745,70.273,10500,940295,53000
Upheaval,24,38934.708,13.365,1238.972,65.904,10080,934433,49705
Primal Wrath,13,67125.308,12.066,1157.026,84.165,9100,872629,63477
Onslaught,27,14740.556,5.37,527.705,26.744,4050,397995,20170
