sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Gekko,Gyofu,Higanbana,Higanbana (dot),Hissatsu: Gyoten,Hissatsu: Senei,Hissatsu: Shinten,Jinpu,Kaeshi: Namikiri,Kaeshi: Setsugekka,Kasha,Midare Setsugekka,Ogi Namikiri,Shifu,Shoha,Tendo Kaeshi Setsugekka,Tendo Setsugekka,Yukikaze,Zanshin
-650,110,Gekko,42462.0,0,42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,642,Auto,9244.0,9244,42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,2440,Kasha,52486.0,9244,42462,0,0,0,0,0,0,0,0,0,52486,0,0,0,0,0,0,0,0
2750,3282,Auto,10004.0,19248,42462,0,0,0,0,0,0,0,0,0,52486,0,0,0,0,0,0,0,0
4291,5091,Yukikaze,42487.0,19248,42462,0,0,0,0,0,0,0,0,0,52486,0,0,0,0,0,0,42487,0
5040,5572,Auto,10004.0,29252,42462,0,0,0,0,0,0,0,0,0,52486,0,0,0,0,0,0,42487,0
7041,8071,Tendo Setsugekka,227279.0,29252,42462,0,0,0,0,0,0,0,0,0,52486,0,0,0,0,0,227279,42487,0
7541,8073,Auto,11810.0,41062,42462,0,0,0,0,0,0,0,0,0,52486,0,0,0,0,0,227279,42487,0
7831,8501,Hissatsu: Senei,118027.0,41062,42462,0,0,0,0,118027,0,0,0,0,52486,0,0,0,0,0,227279,42487,0
8571,9601,Tendo Kaeshi Setsugekka,227279.0,41062,42462,0,0,0,0,118027,0,0,0,0,52486,0,0,0,0,227279,227279,42487,0
9831,10363,Auto,11810.0,52872,42462,0,0,0,0,118027,0,0,0,0,52486,0,0,0,0,227279,227279,42487,0
9811,10841,Zanshin,138681.0,52872,42462,0,0,0,0,118027,0,0,0,0,52486,0,0,0,0,227279,227279,42487,138681
10711,11471,Gekko,61960.0,52872,104422,0,0,0,0,118027,0,0,0,0,52486,0,0,0,0,227279,227279,42487,138681
