sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,937,34895.143,385.109,43630.628,496.299,288600,32696749,371926
Auto,335,9005.675,40.232,4025.761,58.476,30150,3016901,43822
Ouroboros,20,135643.95,30.691,3620.073,215.299,23000,2712879,161345
Uncoiled Fury,27,78885.037,24.5,2842.139,145.474,18360,2129896,109018
Reawaken,20,87167.65,20.016,2326.335,138.344,15000,1743353,103675
Fourth Generation,20,79998.4,18.148,2135.002,126.959,13600,1599968,95143
Third Generation,20,79998.4,18.148,2135.002,126.959,13600,1599968,95143
Second Generation,20,79412.05,18.148,2119.353,126.025,13600,1588241,94443
First Generation,20,79031.65,18.148,2109.201,125.433,13600,1580633,93999
Death Rattle,47,31378.149,17.561,1967.941,76.26,13160,1474773,57149
Hunter's Coil,19,75683.158,17.24,1918.844,117.012,12920,1437980,87689
Swiftskin's Coil,19,69865.632,15.719,1771.349,108.001,11780,1327447,80936
Vicewinder,20,60543.15,14.412,1615.779,96.02,10800,1210863,71957
Swiftskin's Sting,24,33434.875,9.608,1070.774,58.072,7200,802437,43519
Reaving Fangs,24,33011.083,9.474,1057.202,57.509,7100,792266,43097
Hunter's Sting,23,33682.609,9.207,1033.762,57.269,6900,774700,42917
Steel Fangs,23,33682.609,9.207,1033.762,57.269,6900,774700,42917
Fourth Legacy,20,37644.25,8.54,1004.652,59.741,6400,752885,44770
Second Legacy,20,37644.25,8.54,1004.652,59.741,6400,752885,44770
Third Legacy,20,37644.25,8.54,1004.652,59.741,6400,752885,44770
First Legacy,20,37278.7,8.54,994.896,59.162,6400,745574,44336
Twinblood Bite,38,19196.158,8.62,973.385,41.968,6460,729454,31451
Twinfang Bite,38,19152.737,8.62,971.184,41.866,6460,727804,31374
Flanksting Strike,12,56326.417,8.006,901.945,69.185,6000,675917,51847
Hindsting Strike,12,55941.0,8.006,895.774,68.694,6000,671292,51479
Hindsbane Fang,12,55316.917,7.873,885.78,67.974,5900,663803,50940
Flanksbane Fang,11,55941.0,7.339,821.126,65.769,5500,615351,49287
Uncoiled Twinfang,27,19683.185,6.125,709.163,36.298,4590,531446,27202
Uncoiled Twinblood,26,19632.615,5.898,681.143,35.524,4420,510448,26622
