sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
-500,258,Holy Spirit,31913.0,0,0,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
258,790,Auto,5328.0,0,5328,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
1000,1623,Fast Blade,17548.0,0,5328,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
2498,3030,Auto,5328.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
3500,4258,Riot Blade,26327.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,0,0,0
4738,5270,Auto,5328.0,0,15984,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,0,0,0
6000,6578,Royal Authority,39718.0,0,15984,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,39718,0,0
6978,7510,Auto,6055.0,0,22039,0,0,0,0,0,0,0,0,17548,0,31913,0,0,26327,39718,0,0
7250,8540,Imperator,65732.0,0,22039,0,0,0,0,0,0,0,0,17548,0,31913,65732,0,26327,39718,0,0
8500,9034,Goring Blade,79331.0,0,22039,0,0,0,0,0,0,0,0,17548,79331,31913,65732,0,26327,39718,0,0
9218,9750,Auto,7569.0,0,29608,0,0,0,0,0,0,0,0,17548,79331,31913,65732,0,26327,39718,0,0
9125,10148,Circle of Scorn,15856.0,0,29608,0,0,0,0,15856,0,0,0,17548,79331,31913,65732,0,26327,39718,0,0
9125,10500,Circle of Scorn (dot),3394.0,0,29608,0,0,0,0,15856,3394,0,0,17548,79331,31913,65732,0,26327,39718,0,0
11000,11758,Holy Spirit,56664.0,0,29608,0,0,0,0,15856,3394,0,0,17548,79331,88577,65732,0,26327,39718,0,0
11625,11982,Expiacion,50993.0,0,29608,0,0,0,0,15856,3394,0,50993,17548,79331,88577,65732,0,26327,39718,0,0
11458,11990,Auto,7569.0,0,37177,0,0,0,0,15856,3394,0,50993,17548,79331,88577,65732,0,26327,39718,0,0
9125,13500,Circle of Scorn (dot),3394.0,0,37177,0,0,0,0,15856,6788,0,50993,17548,79331,88577,65732,0,26327,39718,0,0
13500,14123,Confiteor,113334.0,0,37177,0,0,0,0,15856,6788,113334,50993,17548,79331,88577,65732,0,26327,39718,0,0
13698,14230,Auto,7569.0,0,44746,0,0,0,0,15856,6788,113334,50993,17548,79331,88577,65732,0,26327,39718,0,0
14125,14703,Intervene,16994.0,0,44746,0,0,0,0,15856,6788,113334,50993,17548,79331,88577,65732,16994,26327,39718,0,0
15938,16470,Auto,7569.0,0,52315,0,0,0,0,15856,6788,113334,50993,17548,79331,88577,65732,16994,26327,39718,0,0
9125,16500,Circle of Scorn (dot),3394.0,0,52315,0,0,0,0,15856,10182,113334,50993,17548,79331,88577,65732,16994,26327,39718,0,0
16000,16666,Blade of Faith,86132.0,0,52315,86132,0,0,0,15856,10182,113334,50993,17548,79331,88577,65732,16994,26327,39718,0,0
18178,18710,Auto,7569.0,0,59884,86132,0,0,0,15856,10182,113334,50993,17548,79331,88577,65732,16994,26327,39718,0,0
18500,19391,Blade of Truth,99731.0,0,59884,86132,0,99731,0,15856,10182,113334,50993,17548,79331,88577,65732,16994,26327,39718,0,0
9125,19500,Circle of Scorn (dot),3394.0,0,59884,86132,0,99731,0,15856,13576,113334,50993,17548,79331,88577,65732,16994,26327,39718,0,0
19125,19703,Intervene,16994.0,0,59884,86132,0,99731,0,15856,13576,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
20418,20950,Auto,7569.0,0,67453,86132,0,99731,0,15856,13576,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
21000,21891,Blade of Valor,113334.0,0,67453,86132,0,99731,113334,15856,13576,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
9125,22500,Circle of Scorn (dot),3394.0,0,67453,86132,0,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
21625,22785,Blade of Honor,113334.0,0,67453,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
22658,23190,Auto,7569.0,0,75022,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
23500,24793,Atonement,52129.0,52129,75022,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
24898,25430,Auto,7569.0,52129,82591,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,0
26000,27160,Supplication,56664.0,52129,82591,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,56664
27138,27670,Auto,7208.0,52129,89799,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,0,56664
28500,29790,Sepulchre,46625.0,52129,89799,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,46625,56664
29378,29910,Auto,5767.0,52129,95566,86132,113334,99731,113334,15856,16970,113334,50993,17548,79331,88577,65732,33988,26327,39718,46625,56664
