sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,869,24007.915,307.042,27549.391,364.9,232520,20862878,276335
Auto,338,5910.675,40.17,2638.102,37.332,30420,1997808,28271
Sepulchre,34,46706.765,24.244,2096.991,93.49,18360,1588030,70799
Holy Spirit,35,44039.657,22.977,2035.4,89.534,17400,1541388,67803
Supplication,34,42986.971,22.448,1929.983,86.1,17000,1461557,65203
Blade of Honor,13,104408.462,17.166,1792.325,128.334,13000,1357310,97186
Blade of Valor,13,104408.462,17.166,1792.325,128.334,13000,1357310,97186
Confiteor,13,104408.462,17.166,1792.325,128.334,13000,1357310,97186
Royal Authority,34,38816.294,20.653,1742.733,77.522,15640,1319754,58707
Atonement,34,38297.912,20.653,1719.459,76.392,15640,1302129,57851
Blade of Truth,13,91878.077,15.106,1577.223,112.932,11440,1194415,85522
Expiacion,25,41664.12,14.856,1375.435,71.608,11250,1041603,54228
Blade of Faith,13,79351.231,13.047,1362.181,97.535,9880,1031566,73862
Goring Blade,13,73084.385,12.017,1254.601,89.832,9100,950097,68029
Riot Blade,34,26454.235,14.816,1187.714,52.527,11220,899444,39778
Imperator,13,60554.154,9.957,1039.501,74.43,7540,787204,56365
Fast Blade,34,17590.5,9.877,789.76,34.923,7480,598077,26447
Intervene,26,15657.231,5.15,537.559,27.215,3900,407088,20610
Circle of Scorn (dot),125,2775.28,4.952,458.094,10.662,3750,346910,8074
Circle of Scorn,25,12955.12,4.622,427.68,22.264,3500,323878,16860
