sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
100,100,Swiftcast,,,,,,,[],
-1200,590,Fire III,290.0,33775.0,,Boss1,['3 Astral Fire'],35211484.0,[],
800,800,Grade 4 Gemdraught,,,,,,,[],
590,1122,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
1050,1810,High Thunder,150.0,22191.0,,Boss1,[],15203066.0,['Enochian'],
2250,2250,Amplifier,,,,,,,[],
1550,2710,Fire IV,300.0,86475.0,,Boss1,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Swiftcast']",
2950,2950,Ley Lines,,,,,,,[],
1050,4500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
5160,5692,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines']",
4660,5820,Fire IV,300.0,86475.0,,Boss1,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines']",
6400,6400,Quadruple Technical Finish,,,,,,,[],
6533,6533,Quadruple Technical Finish,,,,,,,[],
1050,7500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
6490,7650,Fire IV,300.0,86475.0,,Boss1,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines']",
8820,9352,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
8320,9480,Fire IV,300.0,90799.0,,Boss1,['3 Astral Fire'],254491485.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
1050,10500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
10150,11310,Fire IV,300.0,90799.0,,Boss1,['3 Astral Fire'],254491485.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
11020,11640,Xenoglossy,890.0,149642.0,,Boss1,[],691242214.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
11720,11720,Manafont,,,,,,,[],
11600,12132,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
1050,13500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
14380,14912,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
13810,14970,Fire IV,300.0,90799.0,,Boss1,['3 Astral Fire'],254491485.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
15641,16261,Flare Star,500.0,151339.0,,Boss1,['3 Astral Fire'],706988471.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
1050,16500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
17971,18503,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
17471,18631,Fire IV,300.0,90799.0,,Boss1,['3 Astral Fire'],254491485.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
1050,19500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
19301,20461,Fire IV,300.0,90799.0,,Boss1,['3 Astral Fire'],254491485.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
21631,22163,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
21131,22291,Fire IV,300.0,90799.0,,Boss1,['3 Astral Fire'],254491485.0,"['Enochian', 'Grade 4 Gemdraught', 'Ley Lines', 'Technical Finish']",
1050,22500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
22961,24121,Fire IV,300.0,90799.0,,Boss1,['3 Astral Fire'],254491485.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
1050,25500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
25481,26241,High Thunder,150.0,25220.0,,Boss1,[],19631802.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
25981,26513,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
27201,28361,Fire IV,300.0,86475.0,,Boss1,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught']",
25481,28500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
29851,30383,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Grade 4 Gemdraught']",
29351,30511,Fire IV,300.0,86475.0,,Boss1,['3 Astral Fire'],230834749.0,"['Enochian', 'Grade 4 Gemdraught']",
25481,31500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
31501,32121,Flare Star,500.0,133166.0,,Boss1,['3 Astral Fire'],547404282.0,['Enochian'],
32430,32920,Despair,350.0,93213.0,,Boss1,['3 Astral Fire'],268247312.0,['Enochian'],
33131,33131,Transpose,,,,,,,[],
33131,33663,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
33831,33831,Triplecast,,,,,,,[],
25481,34500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
34581,35421,Blizzard III,290.0,42893.0,,Boss1,['1 Umbral Ice'],56791993.0,"['Enochian', 'Triplecast']",
36411,36943,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
25481,37500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
36731,37891,Blizzard IV,300.0,44387.0,,Boss1,['3 Umbral Ice'],60819838.0,"['Enochian', 'Triplecast']",
38881,39551,Paradox,540.0,79886.0,,Boss1,['3 Umbral Ice'],197010726.0,"['Enochian', 'Triplecast']",
39581,39581,Transpose,,,,,,,[],
39691,40223,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
25481,40500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
41031,41701,Paradox,540.0,79886.0,,Boss1,['1 Astral Fire'],197010726.0,['Enochian'],
25481,43500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
42971,43503,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
43881,43881,Ley Lines,,,,,,,[],
43181,44471,Fire III,290.0,60051.0,,Boss1,['3 Astral Fire'],111314107.0,['Enochian'],
25481,46500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
46791,47323,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Ley Lines']",
46291,47451,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,"['Enochian', 'Ley Lines']",
48121,49281,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,"['Enochian', 'Ley Lines']",
25481,49500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
50451,50983,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Ley Lines']",
49951,51111,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,"['Enochian', 'Ley Lines']",
25481,52500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
51781,52941,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,"['Enochian', 'Ley Lines']",
54111,54643,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Ley Lines']",
53611,54771,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,"['Enochian', 'Ley Lines']",
55182,55182,Triplecast,,,,,,,[],
25481,55500,Thunder (dot),60.0,11396.0,,Boss1,[],4009118.0,"['Enochian', 'Grade 4 Gemdraught', 'Technical Finish']",
55802,56562,High Thunder,150.0,22191.0,,Boss1,[],15203066.0,"['Enochian', 'Ley Lines']",
56891,57423,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Ley Lines']",
56312,57472,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,"['Enochian', 'Ley Lines', 'Triplecast']",
55802,58500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
58142,58762,Flare Star,500.0,133166.0,,Boss1,['3 Astral Fire'],547404282.0,"['Enochian', 'Ley Lines', 'Triplecast']",
59671,60203,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Ley Lines']",
59972,60462,Despair,350.0,93213.0,,Boss1,['3 Astral Fire'],268247312.0,"['Enochian', 'Ley Lines']",
60672,60672,Transpose,,,,,,,[],
55802,61500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
61802,62642,Blizzard III,290.0,42893.0,,Boss1,['1 Umbral Ice'],56791993.0,"['Enochian', 'Ley Lines', 'Triplecast']",
62451,62983,Auto,90.0,0.0,,Boss1,[],0.0,"['Enochian', 'Ley Lines']",
55802,64500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
64592,65752,Blizzard IV,300.0,44387.0,,Boss1,['3 Umbral Ice'],60819838.0,['Enochian'],
65231,65763,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
65462,66132,Paradox,540.0,79886.0,,Boss1,['3 Umbral Ice'],197010726.0,['Enochian'],
66162,66162,Transpose,,,,,,,[],
55802,67500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
67612,68282,Paradox,540.0,79886.0,,Boss1,['1 Astral Fire'],197010726.0,['Enochian'],
68511,69043,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
55802,70500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
69762,71052,Fire III,290.0,60051.0,,Boss1,['3 Astral Fire'],111314107.0,['Enochian'],
71791,72323,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
55802,73500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
73132,74292,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,['Enochian'],
75782,76314,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
75282,76442,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,['Enochian'],
55802,76500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
77432,78592,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,['Enochian'],
55802,79500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
80082,80614,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
79582,80742,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,['Enochian'],
55802,82500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
81732,82892,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,['Enochian'],
84382,84914,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
83882,85042,Fire IV,300.0,79898.0,,Boss1,['3 Astral Fire'],197058271.0,['Enochian'],
55802,85500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,"['Enochian', 'Ley Lines']",
86462,87222,High Thunder,150.0,22191.0,,Boss1,[],15203066.0,['Enochian'],
86462,88500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
88182,88802,Flare Star,500.0,133166.0,,Boss1,['3 Astral Fire'],547404282.0,['Enochian'],
88682,89214,Auto,90.0,0.0,,Boss1,[],0.0,['Enochian'],
89112,89602,Despair,350.0,93213.0,,Boss1,['3 Astral Fire'],268247312.0,['Enochian'],
89812,89812,Swiftcast,,,,,,,[],
90512,90512,Transpose,,,,,,,[],
86462,91500,Thunder (dot),60.0,10027.0,,Boss1,[],3103341.0,['Enochian'],
