sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,907,32835.568,310.03,39682.639,380.331,232678,29781860,285439
Blazing Shot,105,33673.505,36.376,4711.144,122.081,27300,3535718,91622
Drill,39,88734.487,34.297,4611.113,176.702,25740,3460645,132615
Heated Clean Shot,48,52000.083,26.862,3325.784,127.296,20160,2496004,95536
Shot,284,7396.268,30.273,2798.85,44.073,22720,2100540,33077
Heated Slug Shot,49,39721.286,20.893,2593.392,98.256,15680,1946343,73741
Double Check,80,23212.488,19.187,2474.346,73.446,14400,1856999,55121
Checkmate,79,23248.987,18.947,2447.259,73.103,14220,1836670,54864
Excavator,13,132993.077,11.432,2303.674,55.314,8580,1728910,41513
Air Anchor,19,86051.526,16.709,2178.517,123.664,12540,1634979,92810
Full Metal Field,7,208477.286,8.394,1944.489,21.232,6300,1459341,15935
Heated Split Shot,50,27281.16,14.657,1817.53,68.173,11000,1364058,51164
Crowned Collider (pet),19,64286.474,13.823,1627.503,103.832,10374,1221443,77926
Chain Saw,13,88432.462,11.432,1531.806,101.988,8580,1149622,76542
Arm Punch (pet),57,19775.737,12.759,1501.953,55.324,9576,1127217,41521
Pile Bunker (pet),19,56042.684,12.051,1418.8,90.518,9044,1064811,67934
Wildfire (dot),7,151882.857,13.431,1416.627,15.468,10080,1063180,11609
Roller Dash (pet),19,38704.211,8.506,979.852,62.104,6384,735380,46609
