sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,1027,34509.21,333.88,47235.718,426.941,250510,35440959,320334
Tendo Kaeshi Setsugekka,15,208290.333,21.991,4164.141,122.431,16500,3124355,91860
Tendo Setsugekka,15,205586.4,21.991,4110.084,120.176,16500,3083796,90168
Auto,315,9785.222,37.785,4108.15,62.347,28350,3082345,46779
Gekko,49,52288.592,27.429,3414.822,131.946,20580,2562141,98999
Kaeshi: Setsugekka,22,116458.5,19.939,3414.75,81.431,14960,2562087,61098
Hissatsu: Shinten,78,31147.423,25.99,3238.037,99.086,19500,2429499,74344
Midare Setsugekka,22,108629.364,19.939,3185.187,74.213,14960,2389846,55682
Gyofu,82,28098.524,26.23,3070.877,90.47,19680,2304079,67880
Kasha,38,50936.974,21.271,2579.775,112.322,15960,1935605,84275
Higanbana (dot),240,6681.833,15.994,2137.332,37.58,12000,1603640,28196
Shoha,18,88368.556,15.354,2119.997,136.572,11520,1590634,102470
Yukikaze,38,40389.053,17.22,2045.56,88.867,12920,1534784,66677
Kaeshi: Namikiri,7,210367.857,9.33,1962.648,85.628,7000,1472575,64247
Ogi Namikiri,7,210367.857,9.33,1962.648,85.628,7000,1472575,64247
Hissatsu: Senei,13,107313.692,13.861,1859.36,140.676,10400,1395078,105549
Zanshin,7,141195.429,8.77,1317.297,136.2,6580,988368,102191
Jinpu,23,34569.304,9.196,1059.701,58.689,6900,795094,44034
Shifu,21,34583.095,8.397,967.939,56.059,6300,726245,42061
Higanbana,12,26422.0,3.199,422.583,33.228,2400,317064,24931
Hissatsu: Gyoten,5,14229.8,0.666,94.827,11.565,500,71149,8677
