sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_expected,sim_weight,sim_target,sim_conditions,sim_variance,sim_buffs,sim_application_timestamp
-1650,0,Heartbreak Shot,180.0,22196.0,1.0,Boss1,[],34360099.0,[],
0,0,The Wanderer's Minuet,,,,,,,[],
-1030,260,Stormbite,100.0,12331.0,,Boss1,[],10602410.0,[],
0,758,Shot,80.0,8316.0,,Boss1,[],4822331.0,[],
-1030,1500,Stormbite (dot),25.0,3085.0,,Boss1,[],663474.0,[],
620,1650,Empyreal Arrow,260.0,32412.0,,Boss1,[],74545532.0,"[""The Wanderer's Minuet""]",
1460,2750,Caustic Bite,150.0,18696.0,,Boss1,[],24801754.0,"[""The Wanderer's Minuet""]",
3000,3000,Grade 4 Gemdraught,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3491,3491,Dokumori,,,,,,,[],
3040,3798,Shot,80.0,8405.0,,Boss1,[],5011860.0,"[""The Wanderer's Minuet""]",
1460,4500,Caustic Bite (dot),20.0,2493.0,,Boss1,[],441151.0,"[""The Wanderer's Minuet""]",
-1030,4500,Stormbite (dot),25.0,3085.0,,Boss1,[],663474.0,[],
4970,4970,Battle Voice,,,,,,,[],5590.0
5133,5133,Brotherhood,,,,,,,[],5933.0
5400,5400,Starry Muse,,,,,,,[],
3950,5420,Burst Shot,220.0,31164.0,1.0,Boss1,[],68914409.0,"['Dokumori', 'Grade 4 Gemdraught', ""The Wanderer's Minuet""]",
5473,5473,Divination,,,,,,,[],6073.0
5533,5533,Starry Muse,,,,,,,[],
5590,5590,Radiant Finale,,,,,,,[],6215.0
6080,6838,Shot,80.0,11681.0,,Boss1,[],9800117.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Starry Muse', ""The Wanderer's Minuet""]",
7060,7060,Raging Strikes,,,,,,,[],
-1030,7500,Stormbite (dot),25.0,3085.0,,Boss1,[],663474.0,[],
1460,7500,Caustic Bite (dot),20.0,2493.0,,Boss1,[],441151.0,"[""The Wanderer's Minuet""]",
6440,7910,Refulgent Arrow,280.0,17054.0,0.3447,Boss1,[],175795543.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
6440,7910,Burst Shot,220.0,25473.0,0.6553,Boss1,[],108522816.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Starry Muse', ""The Wanderer's Minuet""]",
7680,8480,Pitch Perfect,360.0,46756.0,0.6391,Boss1,['3 Repertoire'],384411914.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Raging Strikes', 'Starry Muse', ""The Wanderer's Minuet""]",
7680,8480,Pitch Perfect,220.0,14403.0,0.3222,Boss1,['2 Repertoire'],143522124.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Raging Strikes', 'Starry Muse', ""The Wanderer's Minuet""]",
7680,9330,Heartbreak Shot,180.0,1415.0,0.0387,Boss1,[],96087399.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Raging Strikes', 'Starry Muse', ""The Wanderer's Minuet""]",
9550,9550,Barrage,,,,,,,[],
9120,9878,Shot,80.0,13702.0,,Boss1,[],13483151.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Raging Strikes', 'Starry Muse', ""The Wanderer's Minuet""]",
1460,10500,Caustic Bite (dot),20.0,2493.0,,Boss1,[],441151.0,"[""The Wanderer's Minuet""]",
-1030,10500,Stormbite (dot),25.0,3085.0,,Boss1,[],663474.0,[],
10170,10700,Sidewinder,400.0,81294.0,,Boss1,[],474623924.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Raging Strikes', 'Starry Muse', ""The Wanderer's Minuet""]",
8930,10890,Radiant Encore,700.0,142263.0,,Boss1,['1 Encore'],1453503336.0,"['Battle Voice', 'Brotherhood', 'Divination', 'Dokumori', 'Grade 4 Gemdraught', 'Radiant Finale', 'Raging Strikes', 'Starry Muse', ""The Wanderer's Minuet""]",
