sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,729,31559.307,300.405,30540.576,384.944,226300,23006735,289985
Souleater,73,44402.808,46.514,4302.843,132.044,35040,3241405,99471
Syphon Strike,73,35186.699,36.824,3409.758,104.631,27740,2568629,78820
Edge of Shadow,47,51110.234,28.7,3188.805,126.51,21620,2402181,95302
Bloodspiller,37,59025.703,29.47,2899.113,127.089,22200,2183951,95738
Auto,255,8468.847,30.465,2866.729,47.572,22950,2159556,35837
Hard Slash,73,27649.164,29.071,2679.336,82.181,21900,2018389,61908
Torcleaver,13,86690.0,14.151,1496.01,112.214,10660,1126970,84533
Shadowbringer,14,71597.714,11.151,1330.606,96.947,8400,1002368,73032
Comeuppance,13,76116.0,12.425,1313.535,98.527,9360,989508,74222
Scarlet Delirium,13,65543.308,10.699,1131.082,84.841,8060,852063,63912
Disesteem,7,119337.0,9.292,1108.908,114.26,7000,835359,86074
Carve and Spit,13,57086.538,9.319,985.143,73.893,7020,742125,55665
Disesteem (pet),7,78314.0,5.761,727.712,74.988,4340,548198,56490
Shadowbringer (pet),7,71996.714,5.297,669.011,68.939,3990,503977,51933
Salt and Darkness,9,50567.778,5.974,604.141,54.196,4500,455110,40827
Abyssal Drain (pet),7,53046.571,3.903,492.921,50.793,2940,371326,38263
Bloodspiller (pet),7,53046.571,3.903,492.921,50.793,2940,371326,38263
Edge of Shadow (pet),7,53046.571,3.903,492.921,50.793,2940,371326,38263
Salted Earth (dot),45,4869.778,2.987,290.9,11.524,2250,219140,8681
Salted Earth,9,4869.778,0.597,58.18,5.153,450,43828,3882
