sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
0,893,Keen Edge,23916.0,0,0,0,0,0,0,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
893,1425,Auto,6746.0,0,6746,0,0,0,0,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
2500,3574,Brutal Shell,30619.0,0,6746,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
3693,4225,Auto,7083.0,0,13829,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,0,0,0,0
5000,6653,Solid Barrel,42134.0,0,13829,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,42134,0,0,0
6493,7025,Auto,10874.0,0,24703,0,0,0,30619,0,0,0,0,0,0,23916,0,0,0,0,42134,0,0,0
7500,8123,Gnashing Fang,57161.0,0,24703,0,0,0,30619,0,0,0,57161,0,0,23916,0,0,0,0,42134,0,0,0
8125,8927,Jugular Rip,28578.0,0,24703,0,0,0,30619,0,0,0,57161,0,28578,23916,0,0,0,0,42134,0,0,0
9293,9825,Auto,10874.0,0,35577,0,0,0,30619,0,0,0,57161,0,28578,23916,0,0,0,0,42134,0,0,0
10000,10716,Double Down,129923.0,0,35577,0,0,0,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,0,0,0
10625,11252,Bow Shock,19483.0,0,35577,0,19483,0,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,0,0,0
11250,11875,Blasting Zone,103937.0,0,35577,103937,19483,0,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,0,0,0
12093,12625,Auto,10874.0,0,46451,103937,19483,0,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,0,0,0
12500,13081,Sonic Break,44165.0,0,46451,103937,19483,0,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,44165,0,0
10625,13500,Bow Shock (dot),7791.0,0,46451,103937,19483,7791,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,44165,0,0
12500,13500,Sonic Break (dot),15587.0,0,46451,103937,19483,7791,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,44165,15587,0
14893,15425,Auto,10874.0,0,57325,103937,19483,7791,30619,0,129923,0,57161,0,28578,23916,0,0,0,0,42134,44165,15587,0
15000,15625,Savage Claw,64956.0,0,57325,103937,19483,7791,30619,0,129923,0,57161,0,28578,23916,0,0,0,64956,42134,44165,15587,0
15625,16382,Abdomen Tear,33774.0,33774,57325,103937,19483,7791,30619,0,129923,0,57161,0,28578,23916,0,0,0,64956,42134,44165,15587,0
10625,16500,Bow Shock (dot),7791.0,33774,57325,103937,19483,15582,30619,0,129923,0,57161,0,28578,23916,0,0,0,64956,42134,44165,15587,0
12500,16500,Sonic Break (dot),15587.0,33774,57325,103937,19483,15582,30619,0,129923,0,57161,0,28578,23916,0,0,0,64956,42134,44165,31174,0
