sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Blizzard III,Blizzard IV,Despair,Fire III,Fire IV,Flare Star,High Thunder,Paradox,Thunder (dot),Xenoglossy
-1200,590,Fire III,33775.0,0,0,0,0,33775,0,0,0,0,0,0
590,1122,Auto,0.0,0,0,0,0,33775,0,0,0,0,0,0
1050,1810,High Thunder,22385.0,0,0,0,0,33775,0,0,22385,0,0,0
1550,2710,Fire IV,87230.0,0,0,0,0,33775,87230,0,22385,0,0,0
1050,4500,Thunder (dot),10114.0,0,0,0,0,33775,87230,0,22385,0,10114,0
5160,5692,Auto,0.0,0,0,0,0,33775,87230,0,22385,0,10114,0
4660,5820,Fire IV,91591.0,0,0,0,0,33775,178821,0,22385,0,10114,0
1050,7500,Thunder (dot),10114.0,0,0,0,0,33775,178821,0,22385,0,20228,0
6490,7650,Fire IV,107091.0,0,0,0,0,33775,285912,0,22385,0,20228,0
8820,9352,Auto,0.0,0,0,0,0,33775,285912,0,22385,0,20228,0
8320,9480,Fire IV,107091.0,0,0,0,0,33775,393003,0,22385,0,20228,0
1050,10500,Thunder (dot),10114.0,0,0,0,0,33775,393003,0,22385,0,30342,0
10150,11310,Fire IV,107091.0,0,0,0,0,33775,500094,0,22385,0,30342,0
11020,11640,Xenoglossy,176494.0,0,0,0,0,33775,500094,0,22385,0,30342,176494
11600,12132,Auto,0.0,0,0,0,0,33775,500094,0,22385,0,30342,176494
1050,13500,Thunder (dot),10114.0,0,0,0,0,33775,500094,0,22385,0,40456,176494
14380,14912,Auto,0.0,0,0,0,0,33775,500094,0,22385,0,40456,176494
13810,14970,Fire IV,107091.0,0,0,0,0,33775,607185,0,22385,0,40456,176494
15641,16261,Flare Star,178494.0,0,0,0,0,33775,607185,178494,22385,0,40456,176494
1050,16500,Thunder (dot),10114.0,0,0,0,0,33775,607185,178494,22385,0,50570,176494
17971,18503,Auto,0.0,0,0,0,0,33775,607185,178494,22385,0,50570,176494
17471,18631,Fire IV,107091.0,0,0,0,0,33775,714276,178494,22385,0,50570,176494
1050,19500,Thunder (dot),10114.0,0,0,0,0,33775,714276,178494,22385,0,60684,176494
